FECHA,LOTE,DENOMINACIÓN/     MARCA,CANTIDAD,%H,MALLAS,VERIFICACIÓN FISICA CAFÉ TOSTADO,NOTAS DE CATACIÓN,PUNTAJE,LIBERACIÓN DE LOTE,RESPONSABLE,VARIEDAD_ESTANDAR,PROCESO,ORIGEN,TIEMPO_DE_TUESTE_MIN,TIEMPO_TUESTE_MEDIAN,BENEFICIO
19-07-22,01-190722,Madre Laura,765.0,10.9,14.0,C,"Chocolate negro, toque frutal, cuerpo medio, acidez jugosa citrica, final dulce prolongado",84.0,SI,LFQ,Otros,NAN,NAN,,492.0,NAN
19-7-22,09-190722,Tabi Natural,204.0,10.2,14.0,C,"Frutas maduras, nibs de cacao, acidez brillante, cuerpo cremoso y final frutal ",85.0,SI,LFQ,Otros,NAN,NAN,,492.0,NAN
19-07-22,10-190722,Don Mario,165.0,10.7,14.0,C,"Panela, durazno, miel, acidez brillante citrica, cuerpo sedoso y final limpio y prolongado",84.5,SI,LFQ,Dos mil,TRADICIONAL,JERICO,495.0,495.0,LAVADO
27-07-22,07-19-07-22,Don Felix,0.45,10.5,14.0,C,"Moras maduras, chocolate negro, acidez media citrica como naranja, cuerpo cremoso, balanaceado y final limpio.",84.5,SI,LFQ,Dos mil,TRADICIONAL,JERICO,495.0,495.0,LAVADO
31-10-22,01-291022,Madre Laura,105.0,10.7,14.0,C,"Chocolate negro, toque frutal, cuerpo medio, acidez jugosa citrica, final dulce prolongado",84.0,SI,LFQ,Otros,NAN,NAN,,492.0,NAN
2022-02-11 00:00:00,01-291022,Madre Laura,105.0,10.7,14.0,C,"Chocolate negro, toque frutal, cuerpo medio, acidez jugosa citrica, final dulce prolongado",84.0,SI,LFQ,Otros,NAN,NAN,,492.0,NAN
2022-11-11 00:00:00,01-101122,Madre Laura,210.0,10.7,14.0,C,"Chocolate negro, toque frutal, cuerpo medio, acidez jugosa citrica, final dulce prolongado",84.0,SI,LFQ,Otros,NAN,NAN,,492.0,NAN
2022-04-12 00:00:00,08-241122,Gesha Villabernarda,12.0,10.3,14.0,C,"Jazmin, mandarina, acidez jugosa, cuerpo sedoso y final frutal ",86.0,SI,LFQ,Gesha,HONEY,JERICO,489.0,489.0,HONEY
2022-04-12 00:00:00,02-241122,Madre Laura Natural,19.4,10.5,14.0,C,"Cacao, frutos rojos, cuerpo cremoso, acidez brillante, final frutal",85.0,SI,LFQ,Dos mil,TRADICIONAL,JERICO,495.0,495.0,LAVADO
2022-04-12 00:00:00,05-241122,Doña Dolly,35.0,10.8,14.0,C,"Panela, fresa, acidez brillante, cuerpo cremoso, naranja, final prolongado",85.0,SI,LFQ,Dos mil,TRADICIONAL,JERICO,495.0,495.0,LAVADO
30-12-22,01-291222,Madre Laura,70.0,10.7,14.0,C,"Chocolate negro, toque frutal, cuerpo medio, acidez jugosa citrica, final dulce prolongado",84.0,SI,LFQ,Otros,NAN,NAN,,492.0,NAN
17-01-23,01-130123,Madre Laura,585.0,11.2,14.0,C,"Chocolate negro, toque frutal, cuerpo medio, acidez jugosa citrica, final dulce prolongado",84.0,SI,LFQ,Otros,NAN,NAN,,492.0,NAN
2023-08-02 00:00:00,03-010223,Madre Laura Descafeinado,210.0,10.5,14.0,C,"Chocolate dulce, limon, acidez jugosa citrica, cuerpo sedoso, final prolongado a un toque frutal ",84.5,SI,LFQ,Otros,NAN,NAN,,492.0,NAN
2023-08-02 00:00:00,01-010223,Madre Laura,140.0,11.2,14.0,C,"Chocolate negro, toque frutal, cuerpo medio, acidez jugosa citrica, final dulce prolongado",84.0,SI,LFQ,Otros,NAN,NAN,,492.0,NAN
2023-08-02 00:00:00,02-010223,Madre Laura Natural,101.0,10.8,14.0,C,"Cacao, frutos rojos, cuerpo cremoso, acidez brillante, final frutal",85.0,SI,LFQ,Dos mil,TRADICIONAL,JERICO,495.0,495.0,LAVADO
2023-08-02 00:00:00,05-010223,Doña Dolly,70.0,10.5,14.0,C,"Frambuesa, miel, acidez brillante citrica como mandarina, cuerpo cremoso medio y final frutal prolongado. 
",85.0,SI,LFQ,Dos mil,TRADICIONAL,JERICO,495.0,495.0,LAVADO
